細目|ほそめ|Detail / Particular
その点はまちがいっこない。|その てんはまちがいっこない|There's no mistaking about that.
船は港に錨を下ろしました|ふねは みなとに いかりを おろしました|The ship dropped anchor in the port
首相は国家のリーダーだ。|しゅしょうは こっかのだ|The Prime Minister is the leader of the nation
軽い|かるい|Light / Feathery
渇望|かつぼう|Craving / Longing / Thirsting
何だか寒気がします。|なんだか さむけがします|I feel chilly somehow.
鍵が鍵穴にはまらない|かぎが かぎ あなにはまらない|The key will not fit the keyhole
文明|ぶんめい|Civilization / culture
雄|ゆう|Male
追い払う|いおいはらう|To drive off / chase off / scare / exorcise
血液型|けつえきがた|Blood group
仲介|ちゅうかい|agency / intermediation (lawyer agency for example)
7キロからある道を歩いて帰った。|からある みちを あるいて かえった|I walked about 7km (or more) to get home
その法律は婦女を守るためのものだ|その ほうりつは ふじょを まもるためのものだ|That law is there to protect women
準決勝|じゅんけっしょう|Semifinal
近道|ちかみち|A shortcut / short way
分ける|わける|To Part / Divide
この二人の兄弟は風采が全く違う。|この にんの きょうだいは ふうさいが まったく ちがう|The two brothers are quite unlike in their appearance
幸運|こううん|Luck / Fortune / Prosperity
洗面器でハンカチを洗ったの。|せんめんきでを あらったの|I washed the handkerchief at the sink
文字列|もじれつ|Character string (programming)
第二外国語|だいにがいこくご|Second foreign language
敢えて|あえて|Kanji for あえて　(1) (uk) purposely (of something needless, unexpected or seemingly
発光|はっこう|luminescence; radiation
泣き寝入り|きなきねいり|Crying oneself to sleep
全面安|ぜんめんやす|across the board fall in prices
仮にそれが事実だとしてももう遅いよ。|かりにそれが じじつだとしてももう おそいよ|Even if it is true, it's already too late.
早産|そうざん|premature birth
人生初|じんせいはつ|For the first time in one's life
等しい|ひとしい|Equal / Equivalent
これまで話し合った事柄をまとめてください。|これまで しはなしあった ことがらをまとめてください|Please summarize the things we have been talking about so far.
傘を壁に立て掛けた|かさを かべに てたてかけた|I stood my umbrella against the wall
自認|じにん|admission; (self-)acknowledgment; (self-)acknowledgement
点く|つく|1. to be lit (e.g. electricity comes on), to be lighted2. to catch fire
深刻に|しんこくに|Seriously .. (Gravely ...)
湖の水は透き通っていたよ。|みずうみの みずは きすきとおっていたよ|The water of the lake was transparent.
過労|かろう|Strain / Overwork
彼は自分の生死をかけて、おぼれかけた少年を救った。|かれは じぶんの せいしをかけておぼれかけた しょうねんを すくった|He saved the drowning boy at the risk of his own life
戦前|せんぜん|Before the war
私は医者を志しています。|わたしは いしゃを こころざしています|I am determined to become a doctor.
うちの事に口出ししないでください|うちの ことに くちだししないでください|Please dont stick your nose in my business
音読（する）|おんどくする|声を出して読むこと
重み|おもみ|Weight / Importance
人手が足りなくて忙しい。|ひとでが たりなくて いそがしい|We're busy because we lack manpower.
カエルにはへそがないんだ。|にはへそがないんだ|Frogs have no belly button.
値切る|ねぎる|To ask for a discount
無条件|むじょうけん|Unconditionally
両隣|りょうどなり|both sides
脚注|きゃくちゅう|Footnote
初詣で|はつもうで|first shrine visit of the new year
今、経済の動向は読みにくいわ。|いま けいざいの どうこうは よみにくいわ|Economic trends are difficult to read at the moment.
ざらざら|ざらざら|Rough / Gritty
被災地に物資を送ったよ。|ひさいちに ぶっしを おくったよ|We sent supplies to the disaster area.
私は幾度も彼女の夢を見ました|わたしは いくども かのじょの ゆめを みました|I dreamt about her many times
変電所|へんでんしょ|transformer substation
あの発言は一国の首相として、軽率なこと極まりない。|あの はつげんは こくの しゅしょうとして けいそつなこと きわまりない|As the Prime Minister of the country, that statement was totally inappropriate.
プレハブ||prefab (usu. prefabricated house)
ばい菌|ばい きん|bacterium, germ
こちらの計画は敵に筒抜けだった|こちらの けいかくは てきに つつぬけだった|All our plans leaked out to the enemy
（ご）名答|ご めいとう|はっきりした、りっぱな答
走り幅跳び|りはしりはばとび|running long jump
彼は80年の生涯を閉じました。|かれは  ねんの しょうがいを とじました|His life of 80 years came to a close.
報せ|しらせ|Notification - its 知らせ
位が上がれば責任も増えるものだ。|くらいが あがれば せきにんも ふえるものだ|As you rise up the ranks, responsibility increases too.
全盛期|ぜんせいき|Golden age / Heyday
妹は短大を卒業しました|いもうとは たんだいを そつぎょうしました|My little sister graduated from junior college.
小数点|しょうすうてん|Decimal point
標的|ひょうてき|The target
長椅子|ながいす|Couch / Bench
熟考|じゅっこう|Careful consideration / Deliberation / Thinking over carefully
煩わす|わずらわす|To trouble / To bother / To annoy
全集|ぜんしゅう|Complete works
最善を尽くす|さいぜんを つくす|To do ones best / To do ones utmost
彼の運は落ち目だ|かれの うんは ちおちめだ|His fortune is on the decline
1年生を受け持っています。|ねんせいを けうけもっています|I am in charge of the first graders.
引きはがす|ひきはがす|to tear off; to rip off
彼は気力にあふれていますね。|かれは きりょくにあふれていますね|He really has energy to spare.
～のいかんにかかわらず　Grammar|のいかんにかかわらず|"Regardless of" / に関係なく
僕は彼のしたことは肯定できないな。|ぼくは かれのしたことは こうていできないな|I can't agree with what he did.
太陽電池|たいようでんち|Solar battery
最近、生活にゆとりがでてきました。|さいきん せいかつにゆとりがでてきました|I have more room to breathe lately.
夜道は用心して歩きましょう。|よみちは ようじんして あるきましょう|Be careful when walking at night.
給与|きゅうよ|Allowance / Pay
連鎖反応|れんさはんのう|1. chain reaction2. nuclear chain reaction
代走|だいそう|Substitute runner (in cricket!)
潮の流れ|のしおのながれ|sweep of the tide; drift of the tide; tidal current
寝覚め|ねざめ|Awaken
書店|しょてん|本を売る店
新雪|しんせつ|Fresh Snow
陽動攻撃|ようどう こうげき|a diversionary attack
支度|したく|Arrangement / Preparation
その国は公然と核武装するとおどしている|その くには こうぜんと かくぶそうするとおどしている|That country has openly threatened to go nuclear
百獣の王たるライオン|のひゃくじゅうのおうたる|Lion, the king of the jungle
待ちくたびれる|まちくたびれる|To get tired of waiting
