短刀|たんとう|Short sword / Dagger
空疎な誓約|くうそな せいやく|Empty vows
上等（な）|じょうとうな|Good / Superior / Magnificent
寄り道|りよりみち|dropping by, going out of the way
商魂たくましい|しょうこんたくましい|Enterprising / Aggressive (always for salesman)
技師長|ぎしちょう|Chief engineer
彼が言ったことなど気に留めるな。|かれが いったことなど きに とめるな|Don't take any notice of what he said
嫁いびり|よめいびり|bullying a young wife
自虐|じぎゃく|self-torture, masochism, inflicting damage to oneself
折半（する）|せっぱんする|To go halves on something
熱血漢|ねっけつかん|Hot blooded person / passionate person
指揮|しき|Command / Initiative
擬似|ぎじ|False / Mock / Quasi-
放ったらかす|ほうったらかす|To let aside / To neglect
明るみに出された。|あかるみに だされた|It was brought to light
真髄|しんずい|True meaning / Mystery / Essence / Soul / Core
宿願|しゅくがん|Long standing desire
脱水症状|だっすいしょうじょう|Dehydration
迷彩|めいさい|Camouflage / Disguise
貿易収支の概括|ぼうえきしゅうしの がいかつ|Overview of trade balance
意固地（な）|いこじな|Another word for &quot;Stubborn&quot; - from Death Note
途上|とじょう|En-route / Halfway
強面|こわおもて|fierce look; frightening look; tough look
二つに一つ|ふたつに ひとつ|One of two (possibilities, alternatives, etc)
推薦|すいせん|Recommendation
追悼式|ついとうしき|Memorial Service
～いかんでは|いかんでは|Depending on / 次第で / によって
再起|さいき|Comeback / Recovery
書架|しょか|bookshelf; bookcase
棄権者|きけんしゃ|non-voter
上目遣い|うわめづかい|upturned eyes
手のひら|てのひら|palm
拘置所|こうちしょ|Detention house / Prison
目覚まし時計は今やわき役?|ましめざましどけいは いまやわき やく|Are normal alarm clocks now playing second fiddle?
意を決する|いを けっする|To ready oneself / to resolve
雪がちらちら降っている|ゆきがちらちら ふっている|A light snow is falling
用を足す|ようを たす|(1) to take care of some business; to go on an errand; (2) to relieve oneself; t
高電位|こうでんい|high-voltage
個別|こべつ|Discrete / Individual / Separate
純資産|じゅんしさん|net worth, net assets, total equity
競争|きょうそう|あることについて勝ち負けをあらそうこと
厚着|あつぎ|Heavy clothing
楽天的な人生観|らくてんてきな じんせいかん|A cheerful outlook on liife
政治亡命|せいじぼうめい|Political exile
撲殺|ぼくさつ|To beat to death
眼力|がんりき|insight; power of observation
大家|おおや|Landlord / House Owner
締結|ていけつ|Conclusion / Execution (of a contract) / Entering (into treaty）
ピント||Focus (of a camera?)
みんなの意見はまちまちです|みんなの いけんはまちまちです|Everyone has different opinions
聞き取り|きききとり|Listening comprehension / dictation
主人の使いで市役所に行くところです。|しゅじんの つかいで しやくしょに いくところです|I'm about to go to city hall on an errand for my husband.
存在感を感じる|そんざいかんを かんじる|To feel ones presence (literally, shes talking aobut not being able to feel him 
博士号|はかせごう|PHD / Doctorate
さもないと (Grammar)|さもないと|Or else / Otherwise
切実|せつじつ|Compelling / Serious / Severe
たかり|たかり|Exortion / Sponging
図体|ずうたい|Body / Frame
混濁|こんだく|Muddiness (eg of water / mind) / cloudiness (of a liquid)
彼の演説は痛快だった|かれの えんぜつは つうかいだった|It gave me real pleasure to hear him speak
丁半|ちょうはん|Dice game (Yakusa kiwami), odd and even numbers
次女|じじょ|Second daughter
陣地|じんち|Military encampent / Position
健気（な）|けなげな|Admirable / Praiseworthy
偏頭痛|へんずつう|Migraine
沢|さわ|浅く水がたまり、草が生えている湿地山あいの比較的小さい渓谷Swamp / Marsh / Valley / Mountain stream
奮発|ふんぱつ|Effort / Treat (oneself etc)
跳ね除ける|ねはねのける|&nbsp;to push aside; to brush or thrust aside; to remove; to get rid of
流れ者|れながれもの|Tramp / Wanderer
奴隷|どれい|Slave
細菌の大きさは1ミクロンないし数ミクロンだ。|さいきんの おおきさは ないし すうだ|Bacteria are between one and several microns large.
持ち合わせる|ちもちあわせる|To happen to have on hand or in stock
来るべき|きたるべき|Expected to arrive (occur) in the near future
鉄槌|てっつい|Iron hammer / also "a complete beginner at swimming"
車が溝にはまったの。|くるまが みぞにはまったの|The car got stuck in the ditch.
挙動|きょどう|Conduct / Behaviour
親米|しんべい|Pro american
完売|かんばい|Sold out
愛妻家|あいさいか|Devoted husband
しまい込む|しまい こむ|To put away / to stow away / To tuck away (into pocket etc)
横着な奴だ|おうちゃくな やっこだ|He is a lazy git
種目|しゅもく|Item / Event
試練|しれん|Test / Trial
理不尽な|りふじんな|Unreasonable / Outrageous
途切れる|とぎれる|To pause / To be interrupted
粘着|ねんちゃく|Cohesion / Adhesion&nbsp;
夜の帳|のよるのとばり|Veil of darkness
通常業務|つうじょうぎょうむ|normal duties; (one's) regular work
摩耗|まもう|Wear / Abrasion (say, to the floor)
窮す|きゅうす|To be hard pressed / To be at a loss (ie, &quot;hard pressed to answer why&quot;
検閲|けんえつ|Censorship / To review (in order to censor) / To inspect (in order to censor)
逗留|とうりゅう|&nbsp;旅先などに一定期間とどまること。滞在その場にとどまって進まないこと。また、1か所でぐずぐずすることその場にとどまる時間。ひまStaying / So
〜ありき|ありき|Suffix for "based on, originating from"
芳醇|ほうじゅん|mellow (flavor or fragrance, esp. alcohol), rich, full-bodied, superior
原理主義者|げんりしゅぎしゃ|fundamentalist
保険計理人|ほけんけいりにん|actuary
通信|つうしん|Correspondence / Communication
後退灯|こうたい とう|Backup light / reversing light
震源地|しんげんち|Epicentre (of earthquake)
業火|ごうか|Hell fire
小癪な|こしゃくな|Saucy / Cheeky
重々しい|おもおもしい|Serious / Grave
～ごとく　Grammar|ごとく|Basically means のように
床ずれ|とこずれ|Bedsores
雨垂れ|あまだれ|Raindrops
特異点|とくいてん|singularity, singular point
熱を伝える|ねつを つたえる|to conduct heat
暖冬|だんとう|Warm winter
代金には規定の手数料が含まれます。|だいきんには きていの てすうりょうが ふくまれます|Our price includes a set handling fee.
物知り|ものしり|knowledgeable person
特務機関|とくむきかん|Secret service / Secret military agency
絶大|ぜつだい|Supreme / Immeasureable
その試合は雨のため、延期を余儀なくされた|その しあいは あめのため えんきを よぎなくされた|Due to the rain, the game had to be postponed
そこが目の付け所だ|そこが めの けつけどころだ|That's the point to consider
復讐|ふくしゅう|Revenge
父のいびきは大きいんだ。|ちちのいびきは おおきいんだ|My father snores loudly.
歯を矯正する|はを きょうせいする|To have braces
ここを根拠地となす。|ここを こんきょちとなす|They make this place a base of operation.
湧き出る|きわきでる|To gush forth
しみじみ|しみじみ|Fully / Keenly / Heartily
あなたの言葉を心に留めておきます|あなたの ことばを こころに とめておきます|I will keep your words in my heart
赤いバラが萎れてしまった|あかいが しおれてしまった|The red rose has wilted
嗅ぎまわる|かぎまわる|To sniff around / To snoop around / To nose about
見なす|みなす|To consider / regard something (as something, one way)
航路|こうろ|Course / Route / Run
舞台裏|ぶたいうら|Offstage / Backstage / Behind the scenes
彼女は作り笑いを浮かべた|かのじょは りつくりわらいを うかべた|A forced smile flickered on her face
悪銭|あくせん|Ill gotten money
彼女の名を騙る|かのじょの なを かたる|Assume her name / personate
土日|どにち|Saturday and Sunday / Another word for weekend
彼は彼女の人柄に好感を持った|かれは かのじょの ひとがらに こうかんを もった|He had a good feeling about her character
残滓|ざんし|remains; dregs; vestiges; remnant; residue
瀕する|ひんする|to be on the verge of; to be about to; to be on the point of
弾片|だんぺん|shrapnel, shell or bullet fragment
貯水池|ちょすいち|reservoir
消去法|しょうきょほう|(process of) elimination
動脈|どうみゃく|Artery
東洋|とうよう|The East
残忍|ざんにん|Cruelty / Atrocity / Brutality
ともすると (Grammar!)|ともすると|Prone to X / Liable to X / Apt to X
何気ない|なにげない|Casual / Unconcerned
感謝祭|かんしゃさい|Thanksgiving (US holiday)
古典|こてん|Classics
弾ける|はじける|To burst open / To split open
草履|ぞうり|Japanese footwear sandals, super japanesey ones
波紋|はもん|Ripple / Ring on the water
ワカメ||wakame (species of edible brown seaweed)
茶目|ちゃめ|(1) playful; mischievous; (n) (2) joker; prankster; scamp; rascal; (3) brown eye
火達磨|ひだるま|body covered with flames
画帳|がちょう|picture album
異種交配|いしゅこうはい|crossbreeding
潜り込む|りもぐりこむ|To slip into / to crawl into / to conceal oneself (under)
無難|ぶなん|Safety / Security (safer to not bother learning chinese!)
おしおき|おしおき|Punishment / Scolding
爪跡|つめあと|Fingernail mark / scratch / after-effects
この歌は一昔前に流行りました|この うたは ひとむかしまえに はやりました|This song was popular some years ago
気兼ね|きがね|Constraint / Hesitation
臨戦態勢|りんせんたいせい|War preparation
天文学|てんもんがく|Astronomy
大ざっぱ|おおざっぱ|Rough (as in not precise) / Broad / Sketchy
表計算|ひょうけいさん|Spread sheet (ie MS Excel)
