孤児院|こじいん|Orphanage
１分置き|ふん おき|Every one minute (the 置き here = every / every other / at intervals of)
重傷|じゅうしょう|Serious wound or injury
人工知能 again|じんこうちのう|Artificial intelligence
説明は簡単であればあるほどいい|せつめいは かんたんであればあるほどいい|Simpler explanations are better
きっぱり|きっぱり|Flatly
両手 ／ 諸手|りょうて もろて|Both hands
顔が利く|かおが きく|To be influential
委託する|いたくする|To entrust (an apartment to a management company? )
ざわめき|ざわめき|Stir / Commotion / Noise
歯並びが悪いのです。|はならびが わるいのです|I have crooked teeth.
原始時代|げんしじだい|primitive times
携帯電話を水で濡らしてしまったんだ。|けいたいでんわを みずで ぬらしてしまったんだ|I got my cell phone wet.
同義語|どうぎご|Synonym (not 類義語)
見積もる|みつもる|to estimate
次男|じなん|Second son
実像|じつぞう|Real true image
雲行きが怪しい|くもゆきが あやしい|Set phrase that the clouds look menacing
散歩には申し分のない日だった。|さんぽには しもうしぶんのない ひだった|It was an ideal day for walking
費用|ひよう|Cost / Expenses
通勤|つうきん|To commute
彼女は無口な人ですね。|かのじょは むくちな ひとですね|She's a silent person.
先決|せんけつ|Previous decision / Predetermination / Deciding in advance
冬にはコートを羽織ります。|ふゆにはを はおります|In winter I wear an overcoat
矢印|やじるし|Arrow (pointing in a direction, not bow and arrow)
彼は医学博士の学位を取りました|かれは いがくはかせの がくいを とりました|He obtained a Degree of Medicine degree
厳選|げんせん|careful selection; careful screening; hand-picking
区域|くいき|Boundary / Domain / Territory
精製|せいせい|Refining / Purification
彼は大きな過ちを犯している。|かれは おおきな あやまちを おかしている|He is making a big mistake.
緊急事態|きんきゅうじたい|State of emergency
橙色|だいだいいろ|Orange
構成|こうせい|Configuration (on a computer) / Organisation
軽口|かるくち|Talkative / Loose lipped / Frivolous talk
仕入れ|しいれ|Stocking / Purchasing
府庁|ふちょう|Urban prefectural office
でかでかと|でかでかと|In a big way
空気清浄機|くうきせいじょうき|air purifier
日本的なおみやげと言うと、着物とか扇子などだろう|にほんてきなおみやげと いうと きものとか せんすなどだろう|A typical Japanese souvenir might be a kimono or a fan
増設率|ぞうせつりつ|expansion rate; growth rate
重複|じゅうふく|Duplication / Repetition / Redundancy
悲報|ひほう|Sad news / News of a death
彼は、いつもやりもしないで、できないと言う。|かれはいつもやりもしないでできないと いう|He always gives up before he tries (少しもやらないのに)
指差す|ゆび さす|point to
我々は彼らが損害賠償を拒んだので告訴した。|われわれは かれらが そんがいばいしょうを こばんだので こくそした|We went to court when they refused to pay for the damage
模擬試験|もぎしけん|Mock examination
体感|たいかん|bodily sensation, sense, experience
用具|ようぐ|Tool / Instrument
見せ付ける|せみせつける|To display / To show
青雲の志|のせいうんのこころざし|Lofty ambitions
彼はページをめくったの。|かれはをめくったの|He turned the page.
雛|ひな|Young bird / Chick
蓋|ふた|Lid / Top / Cap (say, of my ramen!)
海で日焼けしたんだ。|うみで ひやけしたんだ|I got sunburnt at the seaside.
相対性理論|そうたいせいりろん|Theory of relativity
切り開く|りきりひらく|To open up / To cut through / To clear (land)
博物館で珍しい蝶の標本を見た|はくぶつかんで めずらしい ちょうの ひょうほんを みた|I saw a specimen of a rare butterfly in the museum
芝居|しばい|Play / Drama / Antics
凡ミス|ぼんみす|Basic mistake / Trivial mistake
改築する|かいちくする|Rebuild / Reconstruct
両極端|りょうきょくたん|Both extremes
